kicker_player_id,kicker_player_name,season,kicks_in_season,career_length,lasted_5plus
00-0000108,D.Akers,1999,11,15,1
00-0000108,D.Akers,2000,69,15,1
00-0000108,D.Akers,2001,69,15,1
00-0000108,D.Akers,2002,77,15,1
00-0000108,D.Akers,2003,71,15,1
00-0000108,D.Akers,2004,74,15,1
00-0000108,D.Akers,2005,45,15,1
00-0000108,D.Akers,2006,71,15,1
00-0000108,D.Akers,2007,68,15,1
00-0000108,D.Akers,2008,85,15,1
00-0000108,D.Akers,2009,82,15,1
00-0000108,D.Akers,2010,85,15,1
00-0000108,D.Akers,2011,86,15,1
00-0000108,D.Akers,2012,86,15,1
00-0000108,D.Akers,2013,67,15,1
00-0000282,M.Andersen,1999,55,8,1
00-0000282,M.Andersen,2000,54,8,1
00-0000282,M.Andersen,2001,58,8,1
00-0000282,M.Andersen,2002,77,8,1
00-0000282,M.Andersen,2003,79,8,1
00-0000282,M.Andersen,2004,67,8,1
00-0000282,M.Andersen,2006,50,8,1
00-0000282,M.Andersen,2007,52,8,1
00-0000313,G.Anderson,1999,76,6,1
00-0000313,G.Anderson,2000,68,6,1
00-0000313,G.Anderson,2001,48,6,1
00-0000313,G.Anderson,2002,60,6,1
00-0000313,G.Anderson,2003,73,6,1
00-0000313,G.Anderson,2004,59,6,1
00-0001138,S.Bentley,2000,1,1,0
00-0001343,C.Blanchard,1999,40,2,0
00-0001343,C.Blanchard,2000,42,2,0
00-0001460,C.Boniol,1999,36,1,0
00-0001759,D.Brien,1999,50,7,1
00-0001759,D.Brien,2000,66,7,1
00-0001759,D.Brien,2001,8,7,1
00-0001759,D.Brien,2002,13,7,1
00-0001759,D.Brien,2003,56,7,1
00-0001759,D.Brien,2004,63,7,1
00-0001759,D.Brien,2005,11,7,1
00-0001980,K.Brown,1999,60,12,1
00-0001980,K.Brown,2000,63,12,1
00-0001980,K.Brown,2001,81,12,1
00-0001980,K.Brown,2002,44,12,1
00-0001980,K.Brown,2003,49,12,1
00-0001980,K.Brown,2004,58,12,1
00-0001980,K.Brown,2005,58,12,1
00-0001980,K.Brown,2006,52,12,1
00-0001980,K.Brown,2007,69,12,1
00-0001980,K.Brown,2008,70,12,1
00-0001980,K.Brown,2009,76,12,1
00-0001980,K.Brown,2010,13,12,1
00-0002655,J.Carney,1999,59,12,1
00-0002655,J.Carney,2000,49,12,1
00-0002655,J.Carney,2001,63,12,1
00-0002655,J.Carney,2002,72,12,1
00-0002655,J.Carney,2003,67,12,1
00-0002655,J.Carney,2004,65,12,1
00-0002655,J.Carney,2005,54,12,1
00-0002655,J.Carney,2006,72,12,1
00-0002655,J.Carney,2007,42,12,1
00-0002655,J.Carney,2008,76,12,1
00-0002655,J.Carney,2009,69,12,1
00-0002655,J.Carney,2010,9,12,1
00-0002975,S.Christie,1999,67,6,1
00-0002975,S.Christie,2000,63,6,1
00-0002975,S.Christie,2001,17,6,1
00-0002975,S.Christie,2002,62,6,1
00-0002975,S.Christie,2003,56,6,1
00-0002975,S.Christie,2004,61,6,1
00-0003395,B.Conway,1999,82,5,0
00-0003395,B.Conway,2000,14,5,0
00-0003395,B.Conway,2001,55,5,0
00-0003395,B.Conway,2002,5,5,0
00-0003395,B.Conway,2003,28,5,0
00-0003501,J.Cortez,2001,72,3,0
00-0003501,J.Cortez,2002,66,3,0
00-0003501,J.Cortez,2005,36,3,0
00-0003762,R.Cunningham,1999,61,3,0
00-0003762,R.Cunningham,2000,16,3,0
00-0003762,R.Cunningham,2002,3,3,0
00-0003841,B.Daluiso,1999,18,3,0
00-0003841,B.Daluiso,2000,57,3,0
00-0003841,B.Daluiso,2001,6,3,0
00-0004091,P.Dawson,1999,36,20,1
00-0004091,P.Dawson,2000,34,20,1
00-0004091,P.Dawson,2001,55,20,1
00-0004091,P.Dawson,2002,63,20,1
00-0004091,P.Dawson,2003,42,20,1
00-0004091,P.Dawson,2004,57,20,1
00-0004091,P.Dawson,2005,50,20,1
00-0004091,P.Dawson,2006,54,20,1
00-0004091,P.Dawson,2007,73,20,1
00-0004091,P.Dawson,2008,54,20,1
00-0004091,P.Dawson,2009,38,20,1
00-0004091,P.Dawson,2010,56,20,1
00-0004091,P.Dawson,2011,49,20,1
00-0004091,P.Dawson,2012,60,20,1
00-0004091,P.Dawson,2013,80,20,1
00-0004091,P.Dawson,2014,64,20,1
00-0004091,P.Dawson,2015,48,20,1
00-0004091,P.Dawson,2016,55,20,1
00-0004091,P.Dawson,2017,66,20,1
00-0004091,P.Dawson,2018,23,20,1
00-0004147,A.DelGreco,1999,68,2,0
00-0004147,A.DelGreco,2000,71,2,0
00-0004811,J.Elam,1999,65,11,1
00-0004811,J.Elam,2000,73,11,1
00-0004811,J.Elam,2001,67,11,1
00-0004811,J.Elam,2002,79,11,1
00-0004811,J.Elam,2003,70,11,1
00-0004811,J.Elam,2004,76,11,1
00-0004811,J.Elam,2005,76,11,1
00-0004811,J.Elam,2006,63,11,1
00-0004811,J.Elam,2007,64,11,1
00-0004811,J.Elam,2008,73,11,1
00-0004811,J.Elam,2009,52,11,1
00-0005113,J.Feagles,2003,1,1,0
00-0005363,D.Flutie,2005,1,1,0
00-0006181,T.Gowin,1999,9,1,0
00-0006182,B.Gowins,1999,9,1,0
00-0006223,M.Gramatica,1999,56,9,1
00-0006223,M.Gramatica,2000,76,9,1
00-0006223,M.Gramatica,2001,57,9,1
00-0006223,M.Gramatica,2002,71,9,1
00-0006223,M.Gramatica,2003,60,9,1
00-0006223,M.Gramatica,2004,41,9,1
00-0006223,M.Gramatica,2006,32,9,1
00-0006223,M.Gramatica,2007,13,9,1
00-0006223,M.Gramatica,2008,26,9,1
00-0006660,J.Hall,2000,14,1,0
00-0006662,J.Hall,1999,62,8,1
00-0006662,J.Hall,2000,62,8,1
00-0006662,J.Hall,2001,63,8,1
00-0006662,J.Hall,2002,68,8,1
00-0006662,J.Hall,2003,60,8,1
00-0006662,J.Hall,2004,24,8,1
00-0006662,J.Hall,2005,41,8,1
00-0006662,J.Hall,2006,20,8,1
00-0006800,J.Hanson,1999,61,14,1
00-0006800,J.Hanson,2000,59,14,1
00-0006800,J.Hanson,2001,53,14,1
00-0006800,J.Hanson,2002,59,14,1
00-0006800,J.Hanson,2003,50,14,1
00-0006800,J.Hanson,2004,56,14,1
00-0006800,J.Hanson,2005,51,14,1
00-0006800,J.Hanson,2006,63,14,1
00-0006800,J.Hanson,2007,71,14,1
